Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Matrice
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'No Raman Region']",0.14354066985645933,"[37.0, 6.0, 6.0, 47.0, 0.0, 3.0, 7.0, 0.0]","[19.0, 38.0, 37.0, 25.0, 30.0, 45.0, 27.0, 30.0]","['GPe', 'GPi', 'GPe', 'Thalamus', 'WM', 'GPe', 'GPe', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  5 12  0  9 31  0]
 [ 0 15 76  4 18 21  8  0]
 [10 73 11  6  7 28  7  0]
 [17  5  9 75  0  0  2  0]
 [ 1 24  9  0  7 20  0  0]
 [ 2 20 40  0 26  6 12  0]
 [51 17 17  6  0  6  9  2]
 [ 1  1  7  8  0  0  3 41]]"
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'High Wavenumbers']",0.2679425837320574,"[55.0, 26.0, 14.0, 34.0, 0.0, 0.0, 18.0, 85.0]","[22.0, 56.0, 52.0, 34.0, 39.0, 49.0, 40.0, 11.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  5 12  0  9 31  0]
 [ 0 15 76  4 18 21  8  0]
 [10 73 11  6  7 28  7  0]
 [17  5  9 75  0  0  2  0]
 [ 1 24  9  0  7 20  0  0]
 [ 2 20 40  0 26  6 12  0]
 [51 17 17  6  0  6  9  2]
 [ 1  1  7  8  0  0  3 41]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Normalized', 'FingerPrint']",0.3576555023923445,"[73.0, 11.0, 5.0, 58.0, 11.0, 16.0, 61.0, 74.0]","[19.0, 75.0, 54.0, 32.0, 75.0, 77.0, 19.0, 18.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'GPi', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 79   5   2  20   0   0   2   0]
 [  6  15 106   1   2   8   4   0]
 [  0  76   7   6   0  37  13   3]
 [ 35   1   6  63   1   0   2   0]
 [  0  46   3   2   7   3   0   0]
 [  0   7  82   0   0  17   0   0]
 [  7  13  21   1   0   0  66   0]
 [  0   0  11   5   0   0   0  45]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Normalized', 'No Raman Region']",0.13875598086124402,"[33.0, 11.0, 6.0, 26.0, 0.0, 8.0, 9.0, 16.0]","[22.0, 33.0, 42.0, 26.0, 56.0, 39.0, 40.0, 61.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 79   5   2  20   0   0   2   0]
 [  6  15 106   1   2   8   4   0]
 [  0  76   7   6   0  37  13   3]
 [ 35   1   6  63   1   0   2   0]
 [  0  46   3   2   7   3   0   0]
 [  0   7  82   0   0  17   0   0]
 [  7  13  21   1   0   0  66   0]
 [  0   0  11   5   0   0   0  45]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Normalized', 'High Wavenumbers']",0.24162679425837322,"[63.0, 4.0, 4.0, 64.0, 21.0, 9.0, 29.0, 0.0]","[23.0, 63.0, 62.0, 28.0, 66.0, 45.0, 30.0, 59.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPe', 'GPi', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 79   5   2  20   0   0   2   0]
 [  6  15 106   1   2   8   4   0]
 [  0  76   7   6   0  37  13   3]
 [ 35   1   6  63   1   0   2   0]
 [  0  46   3   2   7   3   0   0]
 [  0   7  82   0   0  17   0   0]
 [  7  13  21   1   0   0  66   0]
 [  0   0  11   5   0   0   0  45]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'FingerPrint']",0.32894736842105265,"[70.0, 3.0, 11.0, 70.0, 26.0, 4.0, 39.0, 67.0]","[11.0, 62.0, 52.0, 19.0, 28.0, 47.0, 25.0, 16.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'GPi', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[76  0  3 12  0  5 12  0]
 [ 0  4 88  3 19 24  4  0]
 [ 4 74 16  7  2 28 10  1]
 [20  3  6 76  0  0  3  0]
 [ 0 17 12  0 16 16  0  0]
 [ 3 23 50  0 24  4  2  0]
 [20 11 27  6  0  1 42  1]
 [ 0  4 10  6  0  0  0 41]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'No Raman Region']",0.16148325358851676,"[46.0, 12.0, 6.0, 46.0, 0.0, 5.0, 5.0, 0.0]","[19.0, 43.0, 54.0, 31.0, 33.0, 37.0, 36.0, 31.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPe', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[76  0  3 12  0  5 12  0]
 [ 0  4 88  3 19 24  4  0]
 [ 4 74 16  7  2 28 10  1]
 [20  3  6 76  0  0  3  0]
 [ 0 17 12  0 16 16  0  0]
 [ 3 23 50  0 24  4  2  0]
 [20 11 27  6  0  1 42  1]
 [ 0  4 10  6  0  0  0 41]]"
"['smooth(5)', 'BW(10, 3)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'High Wavenumbers']",0.33253588516746413,"[63.0, 39.0, 23.0, 24.0, 5.0, 1.0, 35.0, 89.0]","[13.0, 52.0, 46.0, 29.0, 36.0, 46.0, 19.0, 7.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPi', 'GPe', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[76  0  3 12  0  5 12  0]
 [ 0  4 88  3 19 24  4  0]
 [ 4 74 16  7  2 28 10  1]
 [20  3  6 76  0  0  3  0]
 [ 0 17 12  0 16 16  0  0]
 [ 3 23 50  0 24  4  2  0]
 [20 11 27  6  0  1 42  1]
 [ 0  4 10  6  0  0  0 41]]"
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'FingerPrint']",0.35167464114832536,"[72.0, 8.0, 7.0, 62.0, 11.0, 12.0, 61.0, 69.0]","[17.0, 80.0, 53.0, 28.0, 82.0, 74.0, 20.0, 20.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'GPi', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 78   5   2  18   0   0   5   0]
 [  4  11 113   1   0   7   6   0]
 [  0  75  10   4   0  31  18   4]
 [ 30   4   6  67   0   0   1   0]
 [  0  50   1   3   7   0   0   0]
 [  0  15  78   0   0  13   0   0]
 [  7  12  22   1   0   0  66   0]
 [  0   1   6  12   0   0   0  42]]"
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'No Raman Region']",0.14114832535885166,"[38.0, 13.0, 9.0, 21.0, 0.0, 5.0, 10.0, 10.0]","[36.0, 25.0, 30.0, 55.0, 30.0, 28.0, 43.0, 56.0]","['Putamen', 'Caudate', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 78   5   2  18   0   0   5   0]
 [  4  11 113   1   0   7   6   0]
 [  0  75  10   4   0  31  18   4]
 [ 30   4   6  67   0   0   1   0]
 [  0  50   1   3   7   0   0   0]
 [  0  15  78   0   0  13   0   0]
 [  7  12  22   1   0   0  66   0]
 [  0   1   6  12   0   0   0  42]]"
